id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,churn,promotion_last_5years,dept,salary,sat_level_cluster,last_eval_cluster,avg_month_hr_cluster,satisfaction_level^1xlast_evaluation^1,satisfaction_level^1xnumber_project^1,satisfaction_level^1xaverage_montly_hours^1,satisfaction_level^1xtime_spend_company^1,last_evaluation^1xnumber_project^1,last_evaluation^1xaverage_montly_hours^1,last_evaluation^1xtime_spend_company^1,number_project^1xaverage_montly_hours^1,number_project^1xtime_spend_company^1,average_montly_hours^1xtime_spend_company^1
21,0.38,0.55,2,147,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.20900000000000002,0.76,55.86,1.1400000000000001,1.1,80.85000000000001,1.6500000000000001,294.0,6.0,441.0
22,0.09,0.95,6,304,4,0,1,0,sales,low,very unsatisfied,very high performance,high hr,0.08549999999999999,0.54,27.36,0.36,5.699999999999999,288.8,3.8,1824.0,24.0,1216.0
23,0.46,0.57,2,139,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.2622,0.92,63.940000000000005,1.3800000000000001,1.14,79.22999999999999,1.71,278.0,6.0,417.0
24,0.4,0.53,2,158,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.21200000000000002,0.8,63.2,1.2000000000000002,1.06,83.74000000000001,1.59,316.0,6.0,474.0
25,0.89,0.92,5,242,5,0,1,0,sales,low,very satisfied,very high performance,high hr,0.8188000000000001,4.45,215.38,4.45,4.6000000000000005,222.64000000000001,4.6000000000000005,1210.0,25.0,1210.0
26,0.82,0.87,4,239,5,0,1,0,sales,low,very satisfied,very high performance,high hr,0.7133999999999999,3.28,195.98,4.1,3.48,207.93,4.35,956.0,20.0,1195.0
27,0.4,0.49,2,135,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.196,0.8,54.0,1.2000000000000002,0.98,66.15,1.47,270.0,6.0,405.0
28,0.41,0.46,2,128,3,0,1,0,accounting,low,unsatisfied,low performance,low hr,0.1886,0.82,52.48,1.23,0.92,58.88,1.3800000000000001,256.0,6.0,384.0
29,0.38,0.5,2,132,3,0,1,0,accounting,low,unsatisfied,low performance,low hr,0.19,0.76,50.160000000000004,1.1400000000000001,1.0,66.0,1.5,264.0,6.0,396.0
30,0.09,0.62,6,294,4,0,1,0,accounting,low,very unsatisfied,average performance,high hr,0.055799999999999995,0.54,26.459999999999997,0.36,3.7199999999999998,182.28,2.48,1764.0,24.0,1176.0
31,0.45,0.57,2,134,3,0,1,0,hr,low,unsatisfied,low performance,low hr,0.2565,0.9,60.300000000000004,1.35,1.14,76.38,1.71,268.0,6.0,402.0
32,0.4,0.51,2,145,3,0,1,0,hr,low,unsatisfied,low performance,low hr,0.20400000000000001,0.8,58.0,1.2000000000000002,1.02,73.95,1.53,290.0,6.0,435.0
33,0.45,0.55,2,140,3,0,1,0,hr,low,unsatisfied,low performance,low hr,0.24750000000000003,0.9,63.0,1.35,1.1,77.0,1.6500000000000001,280.0,6.0,420.0
34,0.84,0.87,4,246,6,0,1,0,hr,low,very satisfied,very high performance,high hr,0.7308,3.36,206.64,5.04,3.48,214.02,5.22,984.0,24.0,1476.0
35,0.1,0.94,6,255,4,0,1,0,technical,low,very unsatisfied,very high performance,high hr,0.094,0.6000000000000001,25.5,0.4,5.64,239.7,3.76,1530.0,24.0,1020.0
36,0.38,0.46,2,137,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.1748,0.76,52.06,1.1400000000000001,0.92,63.02,1.3800000000000001,274.0,6.0,411.0
37,0.45,0.5,2,126,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.225,0.9,56.7,1.35,1.0,63.0,1.5,252.0,6.0,378.0
38,0.11,0.89,6,306,4,0,1,0,technical,low,very unsatisfied,very high performance,high hr,0.0979,0.66,33.660000000000004,0.44,5.34,272.34000000000003,3.56,1836.0,24.0,1224.0
39,0.41,0.54,2,152,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.2214,0.82,62.31999999999999,1.23,1.08,82.08000000000001,1.62,304.0,6.0,456.0
40,0.87,0.88,5,269,5,0,1,0,technical,low,very satisfied,very high performance,high hr,0.7656,4.35,234.03,4.35,4.4,236.72,4.4,1345.0,25.0,1345.0
41,0.45,0.48,2,158,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.216,0.9,71.10000000000001,1.35,0.96,75.84,1.44,316.0,6.0,474.0
42,0.4,0.46,2,127,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.18400000000000002,0.8,50.800000000000004,1.2000000000000002,0.92,58.42,1.3800000000000001,254.0,6.0,381.0
43,0.1,0.8,7,281,4,0,1,0,technical,low,very unsatisfied,high performance,high hr,0.08000000000000002,0.7000000000000001,28.1,0.4,5.6000000000000005,224.8,3.2,1967.0,28.0,1124.0
44,0.09,0.89,6,276,4,0,1,0,technical,low,very unsatisfied,very high performance,high hr,0.0801,0.54,24.84,0.36,5.34,245.64000000000001,3.56,1656.0,24.0,1104.0
45,0.84,0.74,3,182,4,0,1,0,technical,low,very satisfied,high performance,med hr,0.6215999999999999,2.52,152.88,3.36,2.2199999999999998,134.68,2.96,546.0,12.0,728.0
46,0.4,0.55,2,147,3,0,1,0,support,low,unsatisfied,low performance,low hr,0.22000000000000003,0.8,58.800000000000004,1.2000000000000002,1.1,80.85000000000001,1.6500000000000001,294.0,6.0,441.0
47,0.57,0.7,3,273,6,0,1,0,support,low,satisfied,average performance,high hr,0.39899999999999997,1.71,155.60999999999999,3.42,2.0999999999999996,191.1,4.199999999999999,819.0,18.0,1638.0
48,0.4,0.54,2,148,3,0,1,0,support,low,unsatisfied,low performance,low hr,0.21600000000000003,0.8,59.2,1.2000000000000002,1.08,79.92,1.62,296.0,6.0,444.0
49,0.43,0.47,2,147,3,0,1,0,support,low,unsatisfied,low performance,low hr,0.20209999999999997,0.86,63.21,1.29,0.94,69.08999999999999,1.41,294.0,6.0,441.0
50,0.13,0.78,6,152,2,0,1,0,support,low,very unsatisfied,high performance,low hr,0.1014,0.78,19.76,0.26,4.68,118.56,1.56,912.0,12.0,304.0
51,0.44,0.55,2,135,3,0,1,0,support,low,unsatisfied,low performance,low hr,0.24200000000000002,0.88,59.4,1.32,1.1,74.25,1.6500000000000001,270.0,6.0,405.0
52,0.38,0.55,2,134,3,0,1,0,support,low,unsatisfied,low performance,low hr,0.20900000000000002,0.76,50.92,1.1400000000000001,1.1,73.7,1.6500000000000001,268.0,6.0,402.0
53,0.39,0.54,2,132,3,0,1,0,support,low,unsatisfied,low performance,low hr,0.2106,0.78,51.480000000000004,1.17,1.08,71.28,1.62,264.0,6.0,396.0
54,0.1,0.92,7,307,4,0,1,0,support,low,very unsatisfied,very high performance,high hr,0.09200000000000001,0.7000000000000001,30.700000000000003,0.4,6.44,282.44,3.68,2149.0,28.0,1228.0
55,0.37,0.46,2,140,3,0,1,0,support,low,unsatisfied,low performance,low hr,0.17020000000000002,0.74,51.8,1.1099999999999999,0.92,64.4,1.3800000000000001,280.0,6.0,420.0
56,0.11,0.94,7,255,4,0,1,0,support,low,very unsatisfied,very high performance,high hr,0.10339999999999999,0.77,28.05,0.44,6.58,239.7,3.76,1785.0,28.0,1020.0
57,0.1,0.81,6,309,4,0,1,0,technical,low,very unsatisfied,high performance,high hr,0.08100000000000002,0.6000000000000001,30.900000000000002,0.4,4.86,250.29000000000002,3.24,1854.0,24.0,1236.0
58,0.38,0.54,2,128,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.20520000000000002,0.76,48.64,1.1400000000000001,1.08,69.12,1.62,256.0,6.0,384.0
59,0.85,1.0,4,225,5,0,1,0,technical,low,very satisfied,very high performance,med hr,0.85,3.4,191.25,4.25,4.0,225.0,5.0,900.0,20.0,1125.0
60,0.85,0.91,5,226,5,0,1,0,management,medium,very satisfied,very high performance,med hr,0.7735,4.25,192.1,4.25,4.55,205.66,4.55,1130.0,25.0,1130.0
61,0.11,0.93,7,308,4,0,1,0,IT,medium,very unsatisfied,very high performance,high hr,0.1023,0.77,33.88,0.44,6.510000000000001,286.44,3.72,2156.0,28.0,1232.0
62,0.1,0.95,6,244,5,0,1,0,IT,medium,very unsatisfied,very high performance,high hr,0.095,0.6000000000000001,24.400000000000002,0.5,5.699999999999999,231.79999999999998,4.75,1464.0,30.0,1220.0
63,0.36,0.56,2,132,3,0,1,0,IT,medium,unsatisfied,low performance,low hr,0.2016,0.72,47.519999999999996,1.08,1.12,73.92,1.6800000000000002,264.0,6.0,396.0
64,0.11,0.94,6,286,4,0,1,0,IT,medium,very unsatisfied,very high performance,high hr,0.10339999999999999,0.66,31.46,0.44,5.64,268.84,3.76,1716.0,24.0,1144.0
65,0.81,0.7,6,161,4,0,1,0,IT,medium,very satisfied,average performance,low hr,0.567,4.86,130.41,3.24,4.199999999999999,112.69999999999999,2.8,966.0,24.0,644.0
66,0.43,0.54,2,153,3,0,1,0,product_mng,medium,unsatisfied,low performance,low hr,0.23220000000000002,0.86,65.78999999999999,1.29,1.08,82.62,1.62,306.0,6.0,459.0
67,0.9,0.98,4,264,6,0,1,0,product_mng,medium,very satisfied,very high performance,high hr,0.882,3.6,237.6,5.4,3.92,258.71999999999997,5.88,1056.0,24.0,1584.0
68,0.76,0.86,5,223,5,1,1,0,product_mng,medium,satisfied,very high performance,med hr,0.6536,3.8,169.48,3.8,4.3,191.78,4.3,1115.0,25.0,1115.0
69,0.43,0.5,2,135,3,0,1,0,product_mng,medium,unsatisfied,low performance,low hr,0.215,0.86,58.05,1.29,1.0,67.5,1.5,270.0,6.0,405.0
70,0.74,0.99,2,277,3,0,1,0,IT,medium,satisfied,very high performance,high hr,0.7326,1.48,204.98,2.2199999999999998,1.98,274.23,2.9699999999999998,554.0,6.0,831.0
71,0.09,0.77,5,275,4,0,1,0,product_mng,medium,very unsatisfied,high performance,high hr,0.0693,0.44999999999999996,24.75,0.36,3.85,211.75,3.08,1375.0,20.0,1100.0
72,0.45,0.49,2,149,3,0,1,0,product_mng,high,unsatisfied,low performance,low hr,0.2205,0.9,67.05,1.35,0.98,73.01,1.47,298.0,6.0,447.0
73,0.09,0.87,7,295,4,0,1,0,product_mng,low,very unsatisfied,very high performance,high hr,0.0783,0.63,26.55,0.36,6.09,256.65,3.48,2065.0,28.0,1180.0
74,0.11,0.97,6,277,4,0,1,0,product_mng,medium,very unsatisfied,very high performance,high hr,0.1067,0.66,30.47,0.44,5.82,268.69,3.88,1662.0,24.0,1108.0
75,0.11,0.79,7,306,4,0,1,0,product_mng,medium,very unsatisfied,high performance,high hr,0.0869,0.77,33.660000000000004,0.44,5.53,241.74,3.16,2142.0,28.0,1224.0
76,0.1,0.83,6,295,4,0,1,0,product_mng,medium,very unsatisfied,high performance,high hr,0.083,0.6000000000000001,29.5,0.4,4.9799999999999995,244.85,3.32,1770.0,24.0,1180.0
77,0.4,0.54,2,137,3,0,1,0,marketing,medium,unsatisfied,low performance,low hr,0.21600000000000003,0.8,54.800000000000004,1.2000000000000002,1.08,73.98,1.62,274.0,6.0,411.0
78,0.43,0.56,2,157,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.24080000000000001,0.86,67.51,1.29,1.12,87.92,1.6800000000000002,314.0,6.0,471.0
79,0.39,0.56,2,142,3,0,1,0,accounting,low,unsatisfied,low performance,low hr,0.21840000000000004,0.78,55.38,1.17,1.12,79.52000000000001,1.6800000000000002,284.0,6.0,426.0
80,0.45,0.54,2,140,3,0,1,0,support,low,unsatisfied,low performance,low hr,0.24300000000000002,0.9,63.0,1.35,1.08,75.60000000000001,1.62,280.0,6.0,420.0
81,0.38,0.49,2,151,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.1862,0.76,57.38,1.1400000000000001,0.98,73.99,1.47,302.0,6.0,453.0
82,0.79,0.59,4,139,3,0,1,1,management,low,very satisfied,average performance,low hr,0.4661,3.16,109.81,2.37,2.36,82.00999999999999,1.77,556.0,12.0,417.0
83,0.84,0.85,4,249,6,0,1,0,marketing,low,very satisfied,high performance,high hr,0.714,3.36,209.16,5.04,3.4,211.65,5.1,996.0,24.0,1494.0
84,0.11,0.77,6,291,4,0,1,0,marketing,low,very unsatisfied,high performance,high hr,0.0847,0.66,32.01,0.44,4.62,224.07,3.08,1746.0,24.0,1164.0
85,0.11,0.87,6,305,4,0,1,0,marketing,low,very unsatisfied,very high performance,high hr,0.0957,0.66,33.55,0.44,5.22,265.35,3.48,1830.0,24.0,1220.0
86,0.17,0.84,5,232,3,0,1,0,sales,low,very unsatisfied,high performance,high hr,0.1428,0.8500000000000001,39.440000000000005,0.51,4.2,194.88,2.52,1160.0,15.0,696.0
87,0.44,0.45,2,132,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.198,0.88,58.08,1.32,0.9,59.4,1.35,264.0,6.0,396.0
88,0.37,0.57,2,130,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.21089999999999998,0.74,48.1,1.1099999999999999,1.14,74.1,1.71,260.0,6.0,390.0
89,0.1,0.79,6,291,4,0,1,0,sales,low,very unsatisfied,high performance,high hr,0.07900000000000001,0.6000000000000001,29.1,0.4,4.74,229.89000000000001,3.16,1746.0,24.0,1164.0
90,0.4,0.5,2,130,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.2,0.8,52.0,1.2000000000000002,1.0,65.0,1.5,260.0,6.0,390.0
91,0.89,1.0,5,246,5,0,1,0,sales,low,very satisfied,very high performance,high hr,0.89,4.45,218.94,4.45,5.0,246.0,5.0,1230.0,25.0,1230.0
92,0.42,0.48,2,143,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.20159999999999997,0.84,60.059999999999995,1.26,0.96,68.64,1.44,286.0,6.0,429.0
93,0.46,0.55,2,129,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.25300000000000006,0.92,59.34,1.3800000000000001,1.1,70.95,1.6500000000000001,258.0,6.0,387.0
94,0.09,0.83,6,255,4,0,1,0,sales,low,very unsatisfied,high performance,high hr,0.07469999999999999,0.54,22.95,0.36,4.9799999999999995,211.64999999999998,3.32,1530.0,24.0,1020.0
95,0.37,0.51,2,155,3,0,1,0,sales,low,unsatisfied,low performance,low hr,0.1887,0.74,57.35,1.1099999999999999,1.02,79.05,1.53,310.0,6.0,465.0
96,0.1,0.77,6,265,4,0,1,0,sales,low,very unsatisfied,high performance,high hr,0.07700000000000001,0.6000000000000001,26.5,0.4,4.62,204.05,3.08,1590.0,24.0,1060.0
97,0.1,0.84,6,279,4,0,1,0,sales,low,very unsatisfied,high performance,high hr,0.084,0.6000000000000001,27.900000000000002,0.4,5.04,234.35999999999999,3.36,1674.0,24.0,1116.0
98,0.11,0.97,6,284,4,0,1,0,sales,low,very unsatisfied,very high performance,high hr,0.1067,0.66,31.24,0.44,5.82,275.48,3.88,1704.0,24.0,1136.0
99,0.9,1.0,5,221,6,0,1,0,sales,medium,very satisfied,very high performance,med hr,0.9,4.5,198.9,5.4,5.0,221.0,6.0,1105.0,30.0,1326.0
100,0.38,0.52,2,154,3,0,1,0,sales,medium,unsatisfied,low performance,low hr,0.1976,0.76,58.52,1.1400000000000001,1.04,80.08,1.56,308.0,6.0,462.0
101,0.36,0.52,2,147,3,0,1,0,sales,medium,unsatisfied,low performance,low hr,0.1872,0.72,52.919999999999995,1.08,1.04,76.44,1.56,294.0,6.0,441.0
102,0.42,0.46,2,150,3,0,1,0,sales,medium,unsatisfied,low performance,low hr,0.1932,0.84,63.0,1.26,0.92,69.0,1.3800000000000001,300.0,6.0,450.0
103,0.09,0.94,7,267,4,0,1,0,sales,medium,very unsatisfied,very high performance,high hr,0.0846,0.63,24.029999999999998,0.36,6.58,250.98,3.76,1869.0,28.0,1068.0
104,0.43,0.52,2,158,3,0,1,0,sales,medium,unsatisfied,low performance,low hr,0.2236,0.86,67.94,1.29,1.04,82.16,1.56,316.0,6.0,474.0
105,0.24,0.46,7,224,5,0,1,0,accounting,medium,very unsatisfied,low performance,med hr,0.1104,1.68,53.76,1.2,3.22,103.04,2.3000000000000003,1568.0,35.0,1120.0
106,0.91,1.0,4,257,5,0,1,0,accounting,medium,very satisfied,very high performance,high hr,0.91,3.64,233.87,4.55,4.0,257.0,5.0,1028.0,20.0,1285.0
107,0.44,0.5,2,148,3,0,1,0,accounting,medium,unsatisfied,low performance,low hr,0.22,0.88,65.12,1.32,1.0,74.0,1.5,296.0,6.0,444.0
108,0.71,0.87,3,177,4,0,1,0,hr,medium,satisfied,very high performance,med hr,0.6176999999999999,2.13,125.66999999999999,2.84,2.61,153.99,3.48,531.0,12.0,708.0
109,0.4,0.49,2,155,3,0,1,0,hr,medium,unsatisfied,low performance,low hr,0.196,0.8,62.0,1.2000000000000002,0.98,75.95,1.47,310.0,6.0,465.0
110,0.43,0.47,2,144,3,0,1,0,hr,medium,unsatisfied,low performance,low hr,0.20209999999999997,0.86,61.92,1.29,0.94,67.67999999999999,1.41,288.0,6.0,432.0
111,0.09,0.85,6,289,4,0,1,0,hr,high,very unsatisfied,high performance,high hr,0.0765,0.54,26.009999999999998,0.36,5.1,245.65,3.4,1734.0,24.0,1156.0
112,0.43,0.52,2,160,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.2236,0.86,68.8,1.29,1.04,83.2,1.56,320.0,6.0,480.0
113,0.9,0.96,4,258,5,0,1,0,technical,medium,very satisfied,very high performance,high hr,0.864,3.6,232.20000000000002,4.5,3.84,247.67999999999998,4.8,1032.0,20.0,1290.0
114,0.84,1.0,5,234,5,0,1,0,technical,medium,very satisfied,very high performance,high hr,0.84,4.2,196.56,4.2,5.0,234.0,5.0,1170.0,25.0,1170.0
115,0.37,0.48,2,137,3,0,1,0,technical,medium,unsatisfied,low performance,low hr,0.17759999999999998,0.74,50.69,1.1099999999999999,0.96,65.75999999999999,1.44,274.0,6.0,411.0
116,0.86,0.68,5,263,2,0,1,0,technical,medium,very satisfied,average performance,high hr,0.5848,4.3,226.18,1.72,3.4000000000000004,178.84,1.36,1315.0,10.0,526.0
117,0.11,0.84,6,251,4,0,1,0,technical,low,very unsatisfied,high performance,high hr,0.0924,0.66,27.61,0.44,5.04,210.84,3.36,1506.0,24.0,1004.0
118,0.37,0.57,2,133,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.21089999999999998,0.74,49.21,1.1099999999999999,1.14,75.80999999999999,1.71,266.0,6.0,399.0
119,0.4,0.46,2,132,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.18400000000000002,0.8,52.800000000000004,1.2000000000000002,0.92,60.720000000000006,1.3800000000000001,264.0,6.0,396.0
120,0.14,0.62,4,158,4,1,1,0,technical,low,very unsatisfied,average performance,low hr,0.0868,0.56,22.12,0.56,2.48,97.96,2.48,632.0,16.0,632.0
121,0.4,0.46,2,135,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.18400000000000002,0.8,54.0,1.2000000000000002,0.92,62.1,1.3800000000000001,270.0,6.0,405.0
122,0.75,1.0,4,216,6,0,1,0,technical,low,satisfied,very high performance,med hr,0.75,3.0,162.0,4.5,4.0,216.0,6.0,864.0,24.0,1296.0
123,0.11,0.84,6,300,5,1,1,0,support,low,very unsatisfied,high performance,high hr,0.0924,0.66,33.0,0.55,5.04,252.0,4.2,1800.0,30.0,1500.0
124,0.46,0.49,2,138,3,0,1,0,support,low,unsatisfied,low performance,low hr,0.22540000000000002,0.92,63.480000000000004,1.3800000000000001,0.98,67.62,1.47,276.0,6.0,414.0
125,0.11,0.92,6,260,4,0,1,0,support,low,very unsatisfied,very high performance,high hr,0.1012,0.66,28.6,0.44,5.5200000000000005,239.20000000000002,3.68,1560.0,24.0,1040.0
126,0.38,0.49,2,132,3,0,1,0,support,low,unsatisfied,low performance,low hr,0.1862,0.76,50.160000000000004,1.1400000000000001,0.98,64.67999999999999,1.47,264.0,6.0,396.0
127,0.7,0.89,3,183,5,0,1,0,support,low,satisfied,very high performance,med hr,0.623,2.0999999999999996,128.1,3.5,2.67,162.87,4.45,549.0,15.0,915.0
128,0.09,0.82,6,250,4,0,1,0,support,low,very unsatisfied,high performance,high hr,0.07379999999999999,0.54,22.5,0.36,4.92,205.0,3.28,1500.0,24.0,1000.0
129,0.37,0.45,2,151,3,0,1,0,support,low,unsatisfied,low performance,low hr,0.1665,0.74,55.87,1.1099999999999999,0.9,67.95,1.35,302.0,6.0,453.0
130,0.1,0.83,6,292,4,0,1,0,support,low,very unsatisfied,high performance,high hr,0.083,0.6000000000000001,29.200000000000003,0.4,4.9799999999999995,242.35999999999999,3.32,1752.0,24.0,1168.0
131,0.38,0.57,2,140,3,0,1,0,support,low,unsatisfied,low performance,low hr,0.2166,0.76,53.2,1.1400000000000001,1.14,79.8,1.71,280.0,6.0,420.0
132,0.9,1.0,5,221,5,0,1,0,support,low,very satisfied,very high performance,med hr,0.9,4.5,198.9,4.5,5.0,221.0,5.0,1105.0,25.0,1105.0
133,0.44,0.51,2,138,3,0,1,0,support,low,unsatisfied,low performance,low hr,0.22440000000000002,0.88,60.72,1.32,1.02,70.38,1.53,276.0,6.0,414.0
134,0.36,0.5,2,132,3,0,1,0,technical,low,unsatisfied,low performance,low hr,0.18,0.72,47.519999999999996,1.08,1.0,66.0,1.5,264.0,6.0,396.0
135,0.31,0.84,7,133,5,0,1,0,technical,low,unsatisfied,high performance,low hr,0.26039999999999996,2.17,41.23,1.55,5.88,111.72,4.2,931.0,35.0,665.0
136,0.1,0.84,6,283,4,1,1,0,technical,low,very unsatisfied,high performance,high hr,0.084,0.6000000000000001,28.3,0.4,5.04,237.72,3.36,1698.0,24.0,1132.0
137,0.42,0.48,2,129,3,0,1,0,management,low,unsatisfied,low performance,low hr,0.20159999999999997,0.84,54.18,1.26,0.96,61.919999999999995,1.44,258.0,6.0,387.0
138,0.74,1.0,4,249,5,0,1,0,IT,low,satisfied,very high performance,high hr,0.74,2.96,184.26,3.7,4.0,249.0,5.0,996.0,20.0,1245.0
139,0.73,0.87,5,257,5,0,1,0,IT,low,satisfied,very high performance,high hr,0.6351,3.65,187.60999999999999,3.65,4.35,223.59,4.35,1285.0,25.0,1285.0
140,0.09,0.96,6,245,4,0,1,0,IT,low,very unsatisfied,very high performance,high hr,0.08639999999999999,0.54,22.05,0.36,5.76,235.2,3.84,1470.0,24.0,980.0
141,0.45,0.53,2,155,3,0,1,0,IT,low,unsatisfied,low performance,low hr,0.23850000000000002,0.9,69.75,1.35,1.06,82.15,1.59,310.0,6.0,465.0
142,0.11,0.8,6,256,4,0,1,0,IT,low,very unsatisfied,high performance,high hr,0.08800000000000001,0.66,28.16,0.44,4.800000000000001,204.8,3.2,1536.0,24.0,1024.0
143,0.37,0.47,2,152,3,0,1,0,product_mng,low,unsatisfied,low performance,low hr,0.1739,0.74,56.24,1.1099999999999999,0.94,71.44,1.41,304.0,6.0,456.0
144,0.84,0.99,4,267,5,0,1,0,product_mng,low,very satisfied,very high performance,high hr,0.8316,3.36,224.28,4.2,3.96,264.33,4.95,1068.0,20.0,1335.0
145,0.41,0.46,2,151,3,0,1,0,product_mng,low,unsatisfied,low performance,low hr,0.1886,0.82,61.91,1.23,0.92,69.46000000000001,1.3800000000000001,302.0,6.0,453.0
146,0.76,0.92,4,239,5,0,1,0,product_mng,low,satisfied,very high performance,high hr,0.6992,3.04,181.64000000000001,3.8,3.68,219.88,4.6000000000000005,956.0,20.0,1195.0
